,Location,Type,Start,End,Duration
284,Location 1,Wet,2022-03-29,2022-03-29,1
285,Location 1,Dry,2022-03-30,2022-04-21,23
286,Location 1,Wet,2022-04-22,2022-04-22,1
287,Location 1,Dry,2022-04-23,2022-08-12,112
288,Location 1,Wet,2022-08-13,2022-08-13,1
289,Location 1,Dry,2022-08-14,2022-09-09,27
290,Location 1,Wet,2022-09-10,2022-09-10,1
291,Location 1,Dry,2022-09-11,2022-10-22,42
292,Location 1,Wet,2022-10-23,2022-10-23,1
293,Location 1,Dry,2022-10-24,2022-11-02,10
294,Location 1,Wet,2022-11-03,2022-11-03,1
295,Location 1,Dry,2022-11-04,2022-11-07,4
296,Location 1,Wet,2022-11-08,2022-11-09,2
297,Location 1,Dry,2022-11-10,2022-12-11,32
298,Location 1,Wet,2022-12-12,2022-12-13,2
299,Location 1,Dry,2022-12-14,2022-12-27,14
300,Location 1,Wet,2022-12-28,2022-12-28,1
301,Location 1,Dry,2022-01-01,2022-12-31,365
302,Location 1,Wet,2022-02-16,2022-02-16,1
303,Location 1,Dry,2022-02-17,2022-02-22,6
304,Location 1,Wet,2022-02-23,2022-02-23,1
305,Location 1,Dry,2022-02-24,2022-03-19,24
306,Location 1,Wet,2022-03-20,2022-03-20,1
307,Location 1,Dry,2022-03-21,2022-03-28,8
308,Location 1,Wet,2022-03-29,2022-03-29,1
309,Location 1,Dry,2022-03-30,2022-04-21,23
310,Location 1,Wet,2022-04-22,2022-04-22,1
311,Location 1,Dry,2022-04-23,2022-07-31,100
312,Location 1,Wet,2022-08-01,2022-08-01,1
313,Location 1,Dry,2022-08-02,2022-09-09,39
314,Location 1,Wet,2022-09-10,2022-09-10,1
315,Location 1,Dry,2022-09-11,2022-10-15,35
316,Location 1,Wet,2022-10-16,2022-10-16,1
317,Location 1,Dry,2022-10-17,2022-11-02,17
318,Location 1,Wet,2022-11-03,2022-11-03,1
319,Location 1,Dry,2022-11-04,2022-11-07,4
320,Location 1,Wet,2022-11-08,2022-11-09,2
321,Location 1,Dry,2022-11-10,2022-12-10,31
322,Location 1,Wet,2022-12-11,2022-12-13,3
323,Location 1,Dry,2022-12-14,2022-12-27,14
324,Location 1,Wet,2022-12-28,2022-12-28,1
325,Location 1,Dry,2022-12-29,2022-12-31,3
326,Location 1,Wet,2023-01-01,2023-01-06,6
327,Location 1,Dry,2023-01-07,2023-01-09,3
328,Location 1,Wet,2023-01-10,2023-01-11,2
329,Location 1,Dry,2023-01-12,2023-01-14,3
330,Location 1,Wet,2023-01-15,2023-01-17,3
331,Location 1,Dry,2023-01-18,2023-01-19,2
332,Location 1,Wet,2023-01-20,2023-01-20,1
333,Location 1,Dry,2023-01-21,2023-01-29,9
334,Location 1,Wet,2023-01-30,2023-01-31,2
335,Location 1,Dry,2023-02-01,2023-02-12,12
336,Location 1,Wet,2023-02-13,2023-02-13,1
337,Location 1,Dry,2023-02-14,2023-02-22,9
338,Location 1,Wet,2023-02-23,2023-02-26,4
339,Location 1,Dry,2023-02-27,2023-02-27,1
340,Location 1,Wet,2023-02-28,2023-03-02,3
341,Location 1,Dry,2023-03-03,2023-03-10,8
342,Location 1,Wet,2023-03-11,2023-03-11,1
343,Location 1,Dry,2023-03-12,2023-03-14,3
344,Location 1,Wet,2023-03-15,2023-03-16,2
345,Location 1,Dry,2023-03-17,2023-03-19,3
346,Location 1,Wet,2023-03-20,2023-03-24,5
347,Location 1,Dry,2023-03-25,2023-03-29,5
348,Location 1,Wet,2023-03-30,2023-03-31,2
349,Location 1,Dry,2023-04-01,2023-04-12,12
350,Location 1,Wet,2023-04-13,2023-04-13,1
351,Location 1,Dry,2023-04-14,2023-05-04,21
352,Location 1,Wet,2023-05-05,2023-05-05,1
353,Location 1,Dry,2023-05-06,2023-08-19,106
354,Location 1,Wet,2023-08-20,2023-08-21,2
355,Location 1,Dry,2023-08-22,2023-09-30,40
356,Location 1,Wet,2023-10-01,2023-10-01,1
357,Location 1,Dry,2023-10-02,2023-11-15,45
358,Location 1,Wet,2023-11-16,2023-11-16,1
359,Location 1,Dry,2023-11-17,2023-11-17,1
360,Location 1,Wet,2023-11-18,2023-11-18,1
361,Location 1,Dry,2023-11-19,2023-11-29,11
362,Location 1,Wet,2023-11-30,2023-12-01,2
363,Location 1,Dry,2023-12-02,2023-12-20,19
364,Location 1,Wet,2023-12-21,2023-12-22,2
365,Location 1,Dry,2023-12-23,2023-12-30,8
366,Location 1,Wet,2023-01-01,2023-12-31,365
367,Location 1,Dry,2023-01-02,2023-01-02,1
368,Location 1,Wet,2023-01-03,2023-01-06,4
369,Location 1,Dry,2023-01-07,2023-01-09,3
370,Location 1,Wet,2023-01-10,2023-01-11,2
371,Location 1,Dry,2023-01-12,2023-01-14,3
372,Location 1,Wet,2023-01-15,2023-01-17,3
373,Location 1,Dry,2023-01-18,2023-01-29,12
374,Location 1,Wet,2023-01-30,2023-01-31,2
375,Location 1,Dry,2023-02-01,2023-02-22,22
376,Location 1,Wet,2023-02-23,2023-02-26,4
377,Location 1,Dry,2023-02-27,2023-02-27,1
378,Location 1,Wet,2023-02-28,2023-03-02,3
379,Location 1,Dry,2023-03-03,2023-03-10,8
380,Location 1,Wet,2023-03-11,2023-03-11,1
381,Location 1,Dry,2023-03-12,2023-03-14,3
382,Location 1,Wet,2023-03-15,2023-03-16,2
383,Location 1,Dry,2023-03-17,2023-03-19,3
384,Location 1,Wet,2023-03-20,2023-03-23,4
385,Location 1,Dry,2023-03-24,2023-03-29,6
386,Location 1,Wet,2023-03-30,2023-03-31,2
387,Location 1,Dry,2023-04-01,2023-05-03,33
388,Location 1,Wet,2023-05-04,2023-05-05,2
389,Location 1,Dry,2023-05-06,2023-08-20,107
390,Location 1,Wet,2023-08-21,2023-08-21,1
391,Location 1,Dry,2023-08-22,2023-11-15,86
392,Location 1,Wet,2023-11-16,2023-11-16,1
