,Latitude,Longitude,City
545,-117.646,33.4412,Capistrano Beach
546,-117.645768,33.440773,Capistrano Beach
547,-117.6455844,33.4406359299999,San Clemente
548,-117.6454,33.440499,San Clemente
549,-117.620594999999,33.4196069999999,San Clemente
550,-117.620335999999,33.4192559999999,San Clemente
551,-117.6204654,33.4194316399999,San Clemente
552,-117.6329025,33.43144746,San Clemente
553,-117.632,33.4307,San Clemente
554,-117.62823611111,33.4269138888888,San Clemente
555,-117.6253765,33.4242068599999,San Clemente
556,-117.623414999999,33.42287642,San Clemente
557,-117.622308333333,33.4221833333333,San Clemente
558,-117.621,33.4208,San Clemente
559,-117.6187784,33.41740113,San Clemente
560,-117.6101253,33.4083131499999,San Clemente
561,-117.607,33.4051,San Clemente
562,-117.6,33.3958,San Clemente
563,-117.623581,33.423028,San Clemente
564,-117.623249,33.422724,San Clemente
565,-117.618,33.418,San Clemente
566,-117.610269,33.408481,San Clemente
567,-117.609982,33.408146,San Clemente
568,-117.678895,33.475721,Dana Point
569,-117.72419,33.48166,Dana Point
570,-117.68449,33.461424,
571,-117.6842446,33.46140913,
572,-117.683999,33.4613939999999,
573,-117.683,33.4616,Dana Point
574,-117.681955,33.4675549999999,Capistrano Beach
575,-117.7249,33.48119,Dana Point
576,-117.7482992,33.50415574,Laguna Beach
577,-117.747,33.5034,Laguna Beach
578,-117.741,33.4976,Laguna Beach
579,-117.725,33.4818,Dana Point
580,-117.725157499999,33.4812934799999,Dana Point
581,-117.7249,33.4811899999999,Dana Point
582,-117.724,33.4793,Dana Point
583,-117.782,33.4696,
584,-117.664379,33.584781,Mission Viejo
585,-117.82136,33.56109,Laguna Beach
586,-117.67982622277,33.6272742153,Mission Viejo
587,-117.67501,33.54183,Laguna Niguel
588,-117.6759,33.5627,Laguna Niguel
589,-117.709684,33.528291,Laguna Niguel
590,-117.6465378,33.52980214,Ladera Ranch
591,-117.6596,33.6544,Lake Forest
592,-117.65586438,33.6463964199,Mission Viejo
593,-117.676309,33.5998919999999,Mission Viejo
594,-117.6179,33.6376199999999,Rancho Santa Margarita
595,-117.78353,33.540981,Laguna Beach
596,-117.637078,33.469987,San Clemente
597,-117.279695,33.129273,Carlsbad
598,-117.279772,33.12948,Carlsbad
599,-117.18569,33.41107,Fallbrook
600,-117.20253,33.40757,Fallbrook
601,-117.20309,33.40784,Fallbrook
602,-117.21477,33.41056,Fallbrook
603,-117.15972,33.41233,Fallbrook
604,-117.14983,33.42126,Fallbrook
605,-117.15199,33.41544,Fallbrook
606,-117.15204,33.41526,Fallbrook
607,-117.15196,33.41174,Fallbrook
608,-117.18344,33.40696,Fallbrook
